date,product,category,price,quantity,region
2025-01-01,Desk Chair,Furniture,100,5,Vanadzor
2025-01-02,Headphones,Accessories,86,1,Hrazdan
2025-01-03,Monitor,Electronics,384,4,Hrazdan
2025-01-04,Printer,Office,283,3,Yerevan
2025-01-05,Tablet,Electronics,235,10,Gyumri
2025-01-06,Mouse,Accessories,30,9,Yerevan
2025-01-07,Keyboard,Accessories,33,1,Hrazdan
2025-01-08,Phone,Electronics,540,4,Gyumri
2025-01-09,Monitor,Electronics,259,6,Gyumri
2025-01-10,Headphones,Accessories,192,3,Abovyan
2025-01-11,Webcam,Accessories,47,5,Abovyan
2025-01-12,Desk Chair,Furniture,103,4,Hrazdan
2025-01-13,Desk Chair,Furniture,210,4,Abovyan
2025-01-14,Printer,Office,204,6,Vanadzor
2025-01-15,Monitor,Electronics,386,10,Abovyan
2025-01-16,Keyboard,Accessories,60,3,Abovyan
2025-01-17,Keyboard,Accessories,52,1,Vanadzor
2025-01-18,Laptop,Electronics,1469,8,Abovyan
2025-01-19,Keyboard,Accessories,42,2,Gyumri
2025-01-20,Mouse,Accessories,74,3,Yerevan
2025-01-21,Keyboard,Accessories,95,8,Yerevan
2025-01-22,Phone,Electronics,548,8,Yerevan
2025-01-23,Headphones,Accessories,80,4,Gyumri
2025-01-24,Laptop,Electronics,1054,3,Abovyan
2025-01-25,Phone,Electronics,611,8,Vanadzor
2025-01-26,Headphones,Accessories,98,3,Gyumri
2025-01-27,Monitor,Electronics,161,3,Gyumri
2025-01-28,Tablet,Electronics,291,2,Hrazdan
2025-01-29,Headphones,Accessories,150,2,Yerevan
2025-01-30,Laptop,Electronics,1080,5,Abovyan
2025-01-01,Desk Chair,Furniture,242,1,Yerevan
2025-01-02,Tablet,Electronics,578,9,Abovyan
2025-01-03,Keyboard,Accessories,86,8,Gyumri
2025-01-04,Printer,Office,212,2,Yerevan
2025-01-05,Headphones,Accessories,59,9,Yerevan
2025-01-06,Webcam,Accessories,114,6,Yerevan
2025-01-07,Keyboard,Accessories,85,10,Hrazdan
2025-01-08,Mouse,Accessories,60,2,Yerevan
2025-01-09,Laptop,Electronics,1308,3,Hrazdan
2025-01-10,Mouse,Accessories,36,10,Abovyan
2025-01-11,Mouse,Accessories,38,6,Gyumri
2025-01-12,Keyboard,Accessories,34,8,Yerevan
2025-01-13,Laptop,Electronics,819,9,Vanadzor
2025-01-14,Printer,Office,149,3,Gyumri
2025-01-15,Tablet,Electronics,531,10,Hrazdan
2025-01-16,Desk Chair,Furniture,95,1,Abovyan
2025-01-17,Tablet,Electronics,336,9,Hrazdan
2025-01-18,Keyboard,Accessories,78,6,Vanadzor
2025-01-19,Printer,Office,126,2,Yerevan
2025-01-20,Tablet,Electronics,354,1,Gyumri
2025-01-21,Headphones,Accessories,58,10,Yerevan
2025-01-22,Laptop,Electronics,1319,10,Vanadzor
2025-01-23,Printer,Office,194,9,Hrazdan
2025-01-24,Monitor,Electronics,374,4,Abovyan
2025-01-25,Tablet,Electronics,455,2,Vanadzor
2025-01-26,Monitor,Electronics,393,5,Hrazdan
2025-01-27,Keyboard,Accessories,42,1,Yerevan
2025-01-28,Tablet,Electronics,479,4,Vanadzor
2025-01-29,Printer,Office,183,5,Abovyan
2025-01-30,Phone,Electronics,867,7,Gyumri
2025-01-01,Tablet,Electronics,256,6,Hrazdan
2025-01-02,Printer,Office,242,2,Hrazdan
2025-01-03,Keyboard,Accessories,63,3,Hrazdan
2025-01-04,Laptop,Electronics,847,6,Abovyan
2025-01-05,Mouse,Accessories,37,4,Gyumri
2025-01-06,Phone,Electronics,880,1,Vanadzor
2025-01-07,Printer,Office,104,10,Yerevan
2025-01-08,Tablet,Electronics,315,5,Yerevan
2025-01-09,Monitor,Electronics,336,1,Yerevan
2025-01-10,Printer,Office,100,10,Yerevan
2025-01-11,Laptop,Electronics,1100,6,Vanadzor
2025-01-12,Desk Chair,Furniture,228,5,Yerevan
2025-01-13,Keyboard,Accessories,73,2,Vanadzor
2025-01-14,Tablet,Electronics,584,6,Gyumri
2025-01-15,Headphones,Accessories,124,5,Vanadzor
2025-01-16,Printer,Office,220,4,Vanadzor
2025-01-17,Webcam,Accessories,105,3,Hrazdan
2025-01-18,Printer,Office,182,10,Hrazdan
2025-01-19,Keyboard,Accessories,97,5,Vanadzor
2025-01-20,Laptop,Electronics,1453,2,Hrazdan
2025-01-21,Tablet,Electronics,476,2,Hrazdan
2025-01-22,Mouse,Accessories,74,4,Abovyan
2025-01-23,Headphones,Accessories,77,2,Vanadzor
2025-01-24,Webcam,Accessories,122,4,Hrazdan
2025-01-25,Webcam,Accessories,82,8,Gyumri
2025-01-26,Tablet,Electronics,230,2,Abovyan
2025-01-27,Keyboard,Accessories,89,2,Yerevan
2025-01-28,Keyboard,Accessories,78,1,Vanadzor
2025-01-29,Mouse,Accessories,70,7,Hrazdan
2025-01-30,Monitor,Electronics,202,1,Vanadzor
2025-01-01,Laptop,Electronics,1040,3,Vanadzor
2025-01-02,Keyboard,Accessories,61,2,Vanadzor
